,class,order,family,genus,species
1D-CNN/convolutional_attention.Arthropoda,0.988892400584237,0.9783083277226001,0.9302350026503121,0.8674189927726459,0.9341178502162897
GRU/mean.Arthropoda,0.9691672682022954,0.9289642443347231,0.8296045577355938,0.7083668245857488,0.737946083427921
GRU/max.Arthropoda,0.978044288237132,0.9578696958524521,0.8910671086201288,0.809747006226041,0.860310115651713
GRU/cls_token.Arthropoda,0.9768941827819385,0.9433830557476884,0.858219286781115,0.7610792447439495,0.7931371342759512
GRU/convolutional_attention.Arthropoda,0.9823207550988249,0.9656468835721456,0.9095273428661848,0.8332126489225918,0.8864916224449514
1D-CNN_GRU/mean.Arthropoda,0.9233116621765485,0.8747725392031183,0.7599201596556204,0.6073422481858298,0.5446601067226537
1D-CNN_GRU/max.Arthropoda,0.9633291319896621,0.9614609431412263,0.8836301886887648,0.8064080359849353,0.8528459103634844
no_network/mean.Chordata,0.7084697579443556,0.4027954094843346,0.2771181850107758,0.19420609755617574,0.11023902836926677
1D-CNN_GRU/cls_token.Arthropoda,0.9560723512596091,0.9531919848848319,0.86556999119588,0.746169218768906,0.7159574484943847
no_network/max.Chordata,0.7169771029066444,0.3983150556608089,0.29967897119574016,0.22931529297222897,0.11941218254576749
no_network/cls_token.Chordata,0.8292501679579605,0.5026521888051292,0.41195492951790663,0.35826480826086515,0.31641751778339067
1D-CNN_GRU/convolutional_attention.Arthropoda,0.9812632105795687,0.973343647912371,0.919090352311846,0.8459495141758451,0.9007862870533958
no_network/convolutional_attention.Chordata,0.9965036133638974,0.9319893331625628,0.9056407554426622,0.848850082136374,0.7813233485685264
1D-CNN/mean.Chordata,0.9207632374306021,0.6532193916082758,0.5708470892197206,0.5094398164718008,0.38977725692476556
1D-CNN/max.Chordata,0.9945461734961633,0.9575045174840295,0.945846196498107,0.8971675183743466,0.7958981100363389
1D-CNN/cls_token.Chordata,0.813784090798516,0.454517930117886,0.358838266719176,0.3117761685527235,0.25035509803843137
1D-CNN/convolutional_attention.Chordata,0.9716525017645633,0.9365446968568514,0.9205739096319163,0.8675509246109372,0.7785515458156295
GRU/mean.Chordata,0.9645455881691476,0.7781181972035619,0.7030136025008386,0.6468643423846285,0.5888810826657356
GRU/max.Chordata,0.9346557799333035,0.7669876224103314,0.7172469818405455,0.6635952618852291,0.6218456819745874
GRU/cls_token.Chordata,0.09382526536529318,0.01621756509803751,0.0038182103929041604,0.0018844542355166147,0.0006150104302603361
GRU/convolutional_attention.Chordata,0.9956023989311915,0.9106742759072756,0.8859478309531768,0.8361741881069296,0.7621880773583213
1D-CNN_GRU/mean.Chordata,0.9433673464091573,0.7633403307809594,0.6749334806605027,0.5935678483163342,0.45618277667664875
1D-CNN_GRU/max.Chordata,0.9740543591389816,0.8373855251495212,0.773893378918046,0.7058889010934613,0.5595029985356352
no_network/mean.Cnidaria,0.8951259315776988,0.6786880718621011,0.3001261665086011,0.2748346012665314,0.09518453104960023
no_network/max.Cnidaria,0.6442937182382402,0.24790600178391026,0.07277385209908376,0.058589487654898305,0.011630176653711098
no_network/cls_token.Cnidaria,0.8893679470583075,0.6505510313417826,0.5405048718455019,0.514441331639568,0.4538330386283602
no_network/convolutional_attention.Cnidaria,0.9962877943754792,0.9745604107267963,0.9055945706373466,0.8998190597556636,0.6143564980214531
1D-CNN/mean.Cnidaria,0.9772556786288265,0.9298930188475151,0.6180447021756195,0.5872554509310035,0.35861413422602983
1D-CNN/max.Cnidaria,0.9960438407235401,0.9617407488149721,0.8868552997883833,0.8860789449831363,0.561529126195365
1D-CNN/cls_token.Cnidaria,0.8823995538351647,0.6722148444190046,0.5122829561101678,0.4945241739780085,0.38115698081608795
1D-CNN/convolutional_attention.Cnidaria,0.9955628805470518,0.9561302493755255,0.8920974976489141,0.8908989471273023,0.6548982208659858
GRU/mean.Cnidaria,0.9865239767298836,0.8997889277185668,0.7032370705472283,0.6806178888381508,0.3637271338027293
GRU/max.Cnidaria,0.9511127476300671,0.8904899002589066,0.7179047659407145,0.7093664899614395,0.4045357511696122
GRU/cls_token.Cnidaria,0.9533283481368746,0.6073735518171625,0.30458239359843853,0.2850484862554742,0.15660899696985847
GRU/convolutional_attention.Cnidaria,0.9939558849763873,0.9482633639601701,0.8474407532244989,0.8603922680688583,0.6161780752424026
1D-CNN_GRU/mean.Cnidaria,0.9547509486577782,0.7448832079547715,0.46422995378575216,0.40731572988885745,0.15626655523888444
1D-CNN_GRU/max.Cnidaria,0.8609887166940295,0.7820371280120458,0.6387672640256224,0.6091732317285807,0.3828594730784147
1D-CNN_GRU/cls_token.Cnidaria,0.4665366942770339,0.19909339578145796,0.0776213600978084,0.05082342867254663,0.026421626681651024
1D-CNN_GRU/convolutional_attention.Cnidaria,0.9457963131411009,0.7426046000378387,0.440164358061345,0.3331353508014109,0.15443582676716322
no_network/mean.Echinodermata,0.7883073611400782,0.4621383472981059,0.35586301235715934,0.2739830864604854,0.18232617140067545
no_network/max.Echinodermata,0.8717469896941037,0.582306619589017,0.39586967920563787,0.30273681907856187,0.22458086200668168
no_network/cls_token.Echinodermata,0.8323272099147232,0.6232409911184944,0.5677509012402306,0.5189555133568908,0.5656803464266745
no_network/convolutional_attention.Echinodermata,0.9963580914556299,0.9509233541016413,0.9295629121604133,0.9083240558284336,0.8873081786465359
1D-CNN/mean.Echinodermata,0.9424296006904134,0.7061019070333705,0.6440054675274105,0.5875369376684817,0.472335684977002
1D-CNN/max.Echinodermata,0.9962352354335291,0.9675902658983568,0.9414690067528148,0.9138751952829967,0.8934738227224583
1D-CNN/cls_token.Echinodermata,0.8488328104384154,0.5753197031963615,0.5124601702507153,0.44107878765102104,0.38214569437268436
1D-CNN/convolutional_attention.Echinodermata,0.9942587095664699,0.9526957269194046,0.9188979729348538,0.9052426269553263,0.8864165456286247
GRU/mean.Echinodermata,0.9555790749055469,0.8032612774233311,0.7637195695740637,0.6679720752325979,0.5505065753689716
GRU/max.Echinodermata,0.9165182140484311,0.7453484785336426,0.7356687519908391,0.7278771517380334,0.7495793268303506
GRU/cls_token.Echinodermata,0.35137972966756914,0.14328879369068123,0.0596645583059949,0.03301897034810346,0.0050118753776364575
GRU/convolutional_attention.Echinodermata,0.9869904468828894,0.92965148262747,0.8919467819986455,0.8400919161260163,0.8689257777310169
1D-CNN_GRU/mean.Echinodermata,0.9780361654649959,0.846713790827286,0.8287724645003948,0.7497912627657234,0.5757379428771586
1D-CNN_GRU/max.Echinodermata,0.9317316070203879,0.7608562816022528,0.7203048042866884,0.6645442577886846,0.540883442706511
1D-CNN_GRU/cls_token.Echinodermata,0.2895304276909453,0.10448250771730401,0.06569556429695061,0.03570312849809901,0.021572320543435487
1D-CNN_GRU/convolutional_attention.Echinodermata,0.9672894859466903,0.8745574535302816,0.851899347178372,0.7834989469103081,0.7997150404408
1D-CNN_GRU/cls_token.Chordata,0.09086626229996422,0.013047839208978815,0.004807399406449295,0.002095520661889436,0.0015433692301918133
no_network/max.Mollusca,0.9447283122784724,0.5182767451328641,0.34711776809265676,0.26380038170253917,0.16535316099220182
no_network/mean.Mollusca,0.9492429755261523,0.4495301546433133,0.27391007600219397,0.18664068518847238,0.06469555845952557
no_network/cls_token.Mollusca,0.8989790149337622,0.5972371590915158,0.5120442989075646,0.45285620176490815,0.42883869872864155
1D-CNN_GRU/convolutional_attention.Chordata,0.9938418200788205,0.9233956572571543,0.8918341065781437,0.8447245297394167,0.75131565290916
no_network/convolutional_attention.Mollusca,0.9945421000239618,0.9162034942015507,0.8371118805062758,0.7819259317146838,0.7734317092195024
1D-CNN/mean.Mollusca,0.9774582059826191,0.6909398078038094,0.5440064968581348,0.47371315494258553,0.41781976943642896
1D-CNN/cls_token.Mollusca,0.26700536357339466,0.032051307541674616,0.008785864457009733,0.004762423838579626,0.0011792831447177896
1D-CNN/max.Mollusca,0.9984763116578798,0.9309275356414407,0.8729346417942391,0.8213522929179942,0.7788136454411752
1D-CNN/convolutional_attention.Mollusca,0.9981765357163312,0.9359402176807096,0.8511745982127862,0.7828728008433882,0.7467815781937572
GRU/mean.Mollusca,0.9835017027573776,0.8028912217803631,0.6897488065394648,0.6165065133121418,0.5896238351554566
GRU/cls_token.Mollusca,0.28456720744533415,0.033619984277665556,0.009100381331989267,0.00463781944473446,0.00100824668816603
GRU/max.Mollusca,0.9792888282978139,0.8844927496629381,0.7504757621902411,0.6732338556999102,0.6585331802420908
GRU/convolutional_attention.Mollusca,0.994883030138189,0.9062403637642692,0.8295641855165646,0.7636539128799279,0.7640216055743704
1D-CNN_GRU/mean.Mollusca,0.9756320439937396,0.8270561719281545,0.6899809894411812,0.623299703876874,0.5344555599957723
no_network/mean.Nematoda,0.558003949646074,0.6062274441557884,0.39882411501946835,0.28714630356315396,0.1161172899779928
no_network/max.Nematoda,0.5662695709918213,0.5599170164416603,0.3402174034614057,0.272991208135677,0.1687318052169746
no_network/cls_token.Nematoda,0.7790415857847564,0.7516904841335954,0.5735344652362198,0.5125086271371644,0.5362517883718909
no_network/convolutional_attention.Nematoda,0.9721639990757488,0.955213662844703,0.8538844391326572,0.7934469788514648,0.9247250648783761
1D-CNN/mean.Nematoda,0.8820409264199249,0.860128480711615,0.6210465855246055,0.5418717453905888,0.41652110869705655
1D-CNN/max.Nematoda,0.9652781884426039,0.9120992434751541,0.7842896542314421,0.7662450583462834,0.9347914243731112
1D-CNN/cls_token.Nematoda,0.7680641395478401,0.7439447321246114,0.5339454436972524,0.46245584809016693,0.4580261749228962
1D-CNN/convolutional_attention.Nematoda,0.8683079498678516,0.9317169624653803,0.8111215997798882,0.7975638719410078,0.936508633389725
GRU/mean.Nematoda,0.6560100809344573,0.7896538002113825,0.5862713887695264,0.5008255461938077,0.5233049499350888
GRU/max.Nematoda,0.7389994444239841,0.765337999101371,0.6766070791092855,0.6254810333883287,0.7359395446824983
GRU/cls_token.Nematoda,0.5073248348594478,0.16844663553382527,0.07355371110050844,0.038262116091720255,0.0075222675833379144
GRU/convolutional_attention.Nematoda,0.8640180058378493,0.899460565721852,0.8070072343603392,0.7428847195077548,0.8809906024071944
1D-CNN_GRU/mean.Nematoda,0.7867446501989124,0.8286951077480382,0.5988209939144085,0.5129686187768379,0.4636333521938425
1D-CNN_GRU/max.Nematoda,0.8802675177657582,0.8177389585204095,0.6772183882799169,0.583901669358018,0.589450270378128
1D-CNN_GRU/cls_token.Nematoda,0.5040291737586493,0.2591538715458168,0.08684339335760069,0.04291953025345193,0.006825858949032794
1D-CNN_GRU/convolutional_attention.Nematoda,0.8881870405021972,0.8584514311006228,0.724204286127279,0.6856095784905524,0.8637115048314259
no_network/mean.Platyhelminthes,0.7705181233488466,0.43536614795721695,0.29361606766080933,0.2814017847676239,0.08072440165032757
no_network/max.Platyhelminthes,0.8214674034059154,0.3953960780152302,0.28065093593214996,0.28683708916664497,0.1704124201963708
no_network/cls_token.Platyhelminthes,0.8314651145933266,0.8350325869129765,0.7665473678977506,0.7635903460543223,0.4791824275774893
no_network/convolutional_attention.Platyhelminthes,0.987895206413301,0.9866445647279294,0.9833519003890989,0.9825886681440192,0.8452896812156072
1D-CNN/mean.Platyhelminthes,0.8322856656249025,0.7299272397400601,0.7451581971425445,0.7444464171314021,0.41568091219325787
1D-CNN/max.Platyhelminthes,0.9391136659734962,0.9768829874353268,0.9773853916581321,0.9753924723081816,0.8391566698974106
1D-CNN/cls_token.Platyhelminthes,0.8647124140366246,0.8625394473775208,0.7853877978427551,0.7853478130220517,0.4008876778012581
1D-CNN/convolutional_attention.Platyhelminthes,0.9941696689421203,0.9543613300529932,0.9753711666101684,0.9768061218895269,0.8385965639360702
GRU/mean.Platyhelminthes,0.8967063926337586,0.8164579777684279,0.8249199613167827,0.8322757536513588,0.4694302262820781
1D-CNN_GRU/cls_token.Mollusca,0.31646708765048526,0.04292931996234045,0.01194259465666691,0.010488755787224937,0.0068202962406161685
GRU/max.Platyhelminthes,0.8464311416884097,0.7760989638731028,0.7093435295114389,0.7142757877027988,0.4468157106120069
GRU/cls_token.Platyhelminthes,0.7119947611020105,0.43248147748867427,0.24538095383079178,0.23197036266935878,0.09458799949540692
GRU/convolutional_attention.Platyhelminthes,0.9575480446419984,0.9683409437828141,0.9692962247504222,0.9709441922041492,0.7953802098555185
1D-CNN_GRU/mean.Platyhelminthes,0.9417553743601181,0.7803407311758185,0.7328317080514584,0.7386195904671049,0.4441241269327688
1D-CNN_GRU/max.Mollusca,0.9202797157886917,0.80093047717865,0.6690520427018471,0.6264719375558552,0.577646830711326
1D-CNN_GRU/cls_token.Platyhelminthes,0.4219799316038069,0.16134348373996,0.09415468205582399,0.09403257750407203,0.03794085331122368
1D-CNN_GRU/max.Platyhelminthes,0.8209368795077653,0.6580229307127006,0.588490383331562,0.604858977025874,0.3125413556895038
1D-CNN_GRU/convolutional_attention.Platyhelminthes,0.9347758871951967,0.9071985058897959,0.8913523155593055,0.8931817993156347,0.7497243210823457
1D-CNN_GRU/convolutional_attention.Mollusca,0.9826627200697015,0.8921186668261744,0.7953545509246123,0.7380958705303382,0.7154191230028526
