,class_label,class_pred,class_score,order_label,order_pred,order_score,family_label,family_pred,family_score,genus_label,genus_pred,genus_score,species_label,species_pred,species_score
RRMFE2515-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,Cicadellidae,Cicadellidae,1.0000,Draeculacephala,Draeculacephala,0.9625,,Draeculacephala antica,0.9625
RRMPB117-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,Cicadellidae,Cicadellidae,1.0000,Ceratagallia,Ceratagallia,0.9999,,Ceratagallia siccifolia,0.9436
RRMFE1116-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,0.9999,Platygastridae,Platygastridae,0.9579,,Synopeas,0.0327,,Synopeas pennsylvanicum,0.0327
RRMFE1104-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,0.9995,Platygastridae,Platygastridae,0.2247,,Leptacis,0.2247,,Leptacis tipulae,0.2247
RRMFD539-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Ichneumonidae,Ichneumonidae,1.0000,,Lissonota,0.9906,,Lissonota coracina,0.0061
RRMFA002-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Chironomidae,Chironomidae,1.0000,Parakiefferiella,Metriocnemus,0.0009,,Tokunagaia sp. 1ES,0.0006
RRMFA010-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Chironomidae,Chironomidae,1.0000,Micropsectra,Cladotanytarsus,0.9664,,Cladotanytarsus amandus,0.0029
RRMFA018-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Chironomidae,Chironomidae,1.0000,Limnophyes,Limnophyes,1.0000,Limnophyes sp. 14ES,Limnophyes sp. 14ES,1.0000
RRMFA019-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Trichoceridae,Culicidae,0.0137,Trichocera,Bicellaria,0.0067,,Bicellaria furcifer,0.0067
RRMFA028-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Chironomidae,Chironomidae,1.0000,,Prosmittia,0.2670,,Prosmittia jemtlandica,0.2670
RRMFC1662-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,,Oxycarenidae,0.0596,,Oxycarenus,0.0572,,Oxycarenus hyalinipennis,0.0572
RRMFD455-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Ichneumonidae,Ichneumonidae,1.0000,,Antaeotricha,0.0006,,Antaeotricha Janzen30,0.0006
RRMFD463-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Ichneumonidae,Ichneumonidae,1.0000,,Phygadeuon,0.0511,,Pimpla croceiventrisDHJ03,0.0005
RRMFD469-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Halictidae,Halictidae,1.0000,Lasioglossum,Lasioglossum,1.0000,,Lasioglossum nitidulum,0.0130
RRMFD480-15,Insecta,Insecta,1.0000,Lepidoptera,Lepidoptera,1.0000,Lasiocampidae,Lasiocampidae,1.0000,Malacosoma,Malacosoma,0.9999,Malacosoma disstria,Malacosoma disstria,0.9987
RRMFD538-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Ichneumonidae,Ichneumonidae,1.0000,Cryptus,Cryptus,0.9998,Cryptus albitarsis,Cryptus albitarsis,0.9097
RRMFG2334-15,Insecta,Insecta,1.0000,Lepidoptera,Lepidoptera,1.0000,Noctuidae,Noctuidae,1.0000,Maliattha,Maliattha,0.9875,Maliattha synochitis,Maliattha synochitis,0.9856
RRMFG2344-15,Insecta,Insecta,1.0000,Lepidoptera,Lepidoptera,1.0000,Hesperiidae,Hesperiidae,1.0000,Lon,Lon,0.9967,Lon hobomok,Lon hobomok,0.9967
RRMFG2352-15,Insecta,Insecta,1.0000,Lepidoptera,Lepidoptera,1.0000,Nymphalidae,Nymphalidae,1.0000,Coenonympha,Coenonympha,1.0000,Coenonympha california,Coenonympha tullia,0.9811
RRMFG2709-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Ichneumonidae,Ichneumonidae,1.0000,,crypMalaise01,0.0069,,crypMalaise01 Malaise7729,0.0009
RRMFG2715-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Ichneumonidae,Ichneumonidae,1.0000,,Campoplex,0.0014,,Campoplex NV-02,0.0014
RRMPB4235-15,Arachnida,Arachnida,0.9957,Mesostigmata,Mesostigmata,0.9957,Ascidae,Ascidae,0.5019,,Arctoseius,0.5019,,Arctoseius taeniolatus,0.0090
RRMFA030-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Sciaridae,Sciaridae,1.0000,Bradysia,Bradysia,1.0000,,Bradysia angustipennis,0.0021
RRMFA031-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Chironomidae,Chironomidae,1.0000,,Gymnometriocnemus,0.2219,,Gymnometriocnemus brumalis,0.0013
RRMFA058-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Chironomidae,Chironomidae,1.0000,Chironomus,Chironomus,1.0000,Chironomus acidophilus,Chironomus acidophilus,0.9990
RRMFD525-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Scarabaeidae,Scarabaeidae,0.8053,,Melinopterus,0.0077,,Melinopterus prodromus,0.0077
RRMFG2328-15,Insecta,Insecta,1.0000,Lepidoptera,Lepidoptera,1.0000,Sphingidae,Sphingidae,1.0000,,Erinnyis,0.0561,,Erinnyis obscura,0.0167
RRMFG2332-15,Insecta,Insecta,1.0000,Lepidoptera,Lepidoptera,1.0000,Erebidae,Erebidae,1.0000,Rivula,Rivula,0.9998,Rivula propinqualis,Rivula propinqualis,0.9995
RRMFG2342-15,Insecta,Insecta,1.0000,Lepidoptera,Lepidoptera,1.0000,Geometridae,Geometridae,1.0000,,Eois,0.0035,,Rheumaptera subhastata,0.0023
RRMFG2708-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Ichneumonidae,Ichneumonidae,1.0000,,ichneuMalaise01,0.0014,,ichneuMalaise01 Malaise7671,0.0014
RRMPB4214-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Scirtidae,Scirtidae,1.0000,Contacyphon,Contacyphon,1.0000,Contacyphon pusillus,Contacyphon pusillus,0.9999
RRMFE1143-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Figitidae,Figitidae,0.9153,,Ganaspis,0.0303,,Ganaspis brasiliensis,0.0303
RRMFE2511-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,Pentatomidae,Pentatomidae,1.0000,Podisus,Podisus,0.7251,,Podisus maculiventris,0.7250
RRMFG2330-15,Insecta,Insecta,1.0000,Lepidoptera,Lepidoptera,1.0000,Geometridae,Geometridae,1.0000,Anticlea,Anticlea,0.9999,Anticlea multiferata,Anticlea multiferata,0.9999
RRMFG2353-15,Insecta,Insecta,1.0000,Lepidoptera,Lepidoptera,1.0000,Geometridae,Geometridae,1.0000,Campaea,Campaea,0.9998,Campaea perlata,Campaea perlata,0.9991
RRMFG3263-15,Insecta,Insecta,1.0000,Lepidoptera,Lepidoptera,1.0000,Noctuidae,Noctuidae,1.0000,,Polia,0.0443,,Polia nimbosa,0.0443
RRMFI2519-15,Arachnida,Arachnida,1.0000,Mesostigmata,Mesostigmata,1.0000,Parasitidae,Parasitidae,0.0579,,Arctoseius,0.0118,,Arctoseius taeniolatus,0.0118
RRMFI2521-15,Arachnida,Insecta,0.9922,Mesostigmata,Coleoptera,0.9922,,Ascidae,0.0182,,Arctoseius,0.0182,,Callosobruchus maculatus,0.0147
RRMFI2522-15,Arachnida,Arachnida,0.9959,Mesostigmata,Ixodida,0.8145,,Ixodidae,0.8145,,Rhipicephalus,0.8145,,Rhipicephalus sanguineus,0.0005
RRMFI2523-15,Arachnida,Arachnida,1.0000,Mesostigmata,Mesostigmata,0.6721,Parasitidae,Parasitidae,0.4412,Poecilochirus,Poecilochirus,0.2988,,Poecilochirus carabi,0.2988
RRMFI2532-15,Arachnida,Arachnida,0.6660,Trombidiformes,Trombidiformes,0.0860,,Lebertiidae,0.0061,,Lebertia,0.0061,,Lebertia porosa,0.0061
RRMFI2554-15,Arachnida,Arachnida,1.0000,Trombidiformes,Trombidiformes,0.1113,,Hygrobatidae,0.0156,,Hygrobates,0.0156,,Hygrobates fluviatilis,0.0156
RRMFI2991-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Coccinellidae,Coccinellidae,1.0000,Stethorus,Stethorus,0.9978,Stethorus punctillum,Stethorus punctillum,0.9978
RRMFI3003-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Curculionidae,Curculionidae,1.0000,,Anthonomus,0.0008,,Hylesinus aculeatus,0.0003
RRMFI3005-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Leiodidae,Scirtidae,0.0026,,Contacyphon,0.0026,,Litargus tetraspilotus,0.0024
RRMFI3006-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Latridiidae,Latridiidae,0.9999,Melanophthalma,Melanophthalma,0.7473,,Melanophthalma pumila,0.0063
RRMFI3007-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,0.0590,Leiodidae,Cerambycidae,0.0116,,Opsiphanes,0.0069,,Opsiphanes fabricii,0.0069
RRMPG056-15,Insecta,Insecta,1.0000,Lepidoptera,Lepidoptera,1.0000,Gelechiidae,Gelechiidae,1.0000,Dichomeris,Dichomeris,1.0000,,gelBioLep01 BioLep1373,0.0733
RRMFA001-15,Insecta,Insecta,1.0000,Diptera,Diptera,0.9999,Cecidomyiidae,Cecidomyiidae,0.9999,,Bryomyia,0.0688,,Campylomyza flavipes,0.0034
RRMFD001-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,Membracidae,Cicadellidae,1.0000,,Typhlocyba,0.0317,,Typhlocyba gillettei,0.0317
RRMFI2530-15,Arachnida,Arachnida,1.0000,Mesostigmata,Mesostigmata,1.0000,,Laelapidae,0.0053,,Laelaps,0.0053,,Phytoseiulus persimilis,0.0017
RRMFI2567-15,Arachnida,Arachnida,1.0000,Trombidiformes,Trombidiformes,1.0000,Tetranychidae,Tetranychidae,1.0000,Panonychus,Panonychus,0.9758,Panonychus ulmi,Panonychus ulmi,0.9758
RRMFI3001-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Staphylinidae,Staphylinidae,1.0000,,Atheta,0.0014,,Caenocara scymnoides,0.0002
RRMPG044-15,Insecta,Insecta,1.0000,Lepidoptera,Lepidoptera,1.0000,Tortricidae,Tortricidae,1.0000,Cochylichroa,Cochylichroa,0.9923,Cochylichroa hoffmanana,Cochylichroa hoffmanana,0.9923
RRMFE1152-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Eulophidae,Eulophidae,0.6450,,Melittobia,0.0282,,Palmistichus ixtlilxochitliDHJ02DHJ09,0.0007
RRMFI4240-15,Insecta,Insecta,0.9999,Hymenoptera,Decapoda,0.1690,Ichneumonidae,Palinuridae,0.1690,Oxytorus,Macrobrachium,0.1630,Oxytorus antennatus,Macrobrachium rosenbergii,0.1630
RRMFB791-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Pteromalidae,Pteromalidae,0.0077,,Mesopolobus,0.0076,,scopaBioLep01 BioLep214,0.0036
RRMFG1520-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Encyrtidae,Encyrtidae,0.9995,,encyrMalaise01,0.2009,,Rhipidolestes aculeatus,0.0193
RRMFB781-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Eulophidae,Eulophidae,0.6169,,Hemiptarsenus,0.1808,,Hemiptarsenus unguicellus,0.1808
RRMFI4195-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,0.8375,Pompilidae,Pompilidae,0.1298,,Pityohyphantes,0.0103,,Pityohyphantes subarcticus,0.0103
RRMFE1653-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Pteromalidae,Eurytomidae,0.0143,,Eurytoma,0.0143,,Eurytoma spongiosa1,0.0044
RRMFG1499-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,,Braconidae,0.0134,,Hormius,0.0134,,Tetragonisca angustula,0.0085
RRMFE1089-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Eurytomidae,Ichneumonidae,0.0111,,Cratichneumon,0.0111,,Basalys pedisequa,0.0003
RRMFG1468-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,,Pteromalidae,0.0742,,Aphidius,0.0082,,Aphidius funebris,0.0082
RRMFI3205-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Diapriidae,Diapriidae,1.0000,,Trypoxylon,0.0805,,Pantoclis hirtistilus,0.0619
RRMFC493-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,,Mymaridae,0.0044,,Ceratosolen,0.0025,,Ceratosolen sp. 1 RCL-2007,0.0025
RRMFD1489-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Mymaridae,Scelionidae,0.0064,,Telenomus,0.0064,,Telenomus podisi,0.0064
RRMFD1442-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,0.0200,Diapriidae,Formicidae,0.0200,,Camponotus,0.0200,,Camponotus pennsylvanicus,0.0200
RRMFI1760-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Encyrtidae,Encyrtidae,0.9634,,Rhipidolestes,0.0189,,Rhipidolestes aculeatus,0.0189
RRMFD1586-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Aphelinidae,Aphelinidae,1.0000,Centrodora,Centrodora,0.9993,Centrodora livens,Centrodora livens,0.9974
RRMFE1128-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Eulophidae,Eulophidae,0.9900,Aprostocetus,Deutereulophus,0.0110,,Deutereulophus Malaise6791,0.0013
RRMFI3867-15,Arachnida,Arachnida,1.0000,Trombidiformes,Trombidiformes,1.0000,Tetranychidae,Tetranychidae,0.9997,Oligonychus,Oligonychus,0.2251,,Oligonychus perseae,0.2251
RRMPC002-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,Cicadellidae,Cicadellidae,1.0000,Dikraneura,Dikraneura,0.9380,Dikraneura mali,Dikraneura mali,0.9380
RRMFI3182-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,0.9997,Diapriidae,Braconidae,0.0058,,Heterospilus,0.0058,,Heterospilus Malaise2541,0.0058
RRMPD029-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Braconidae,Braconidae,0.9999,Aleiodes,Chelonus,0.0035,,Chelonus jorgehernandezi,0.0035
RRMFC1721-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,,Chrysomelidae,1.0000,,Pentaria,0.0119,,Pentaria trifasciata,0.0119
RRMFE955-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Tenebrionidae,Tenebrionidae,0.0137,,Ceratagallia,0.0006,,tinBioLep01 BioLep5822,0.0004
RRMFB774-15,Insecta,Insecta,1.0000,Hymenoptera,Diptera,0.0139,,Sarcophagidae,0.0139,,sarcJanzen01,0.0139,,sarcJanzen01 Janzen13,0.0139
RRMPG665-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Pteromalidae,Pteromalidae,1.0000,,Encarsia,0.0442,,Encarsia citrina,0.0442
RRMFD1510-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,0.9991,Figitidae,Figitidae,0.9989,,Alloxysta,0.9173,,Alloxysta ramulifera,0.1516
RRMFG1587-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,0.9987,Eulophidae,Eulophidae,0.9958,,Deutereulophus,0.0045,,Deutereulophus Malaise9526,0.0045
RRMFI4045-15,Insecta,Insecta,1.0000,Lepidoptera,Lepidoptera,1.0000,Erebidae,Erebidae,0.9821,Ctenucha,Ctenucha,0.9821,Ctenucha virginica,Ctenucha virginica,0.9821
RRMFI2845-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,Cicadellidae,Cicadellidae,1.0000,,Typhlocyba,0.9998,,Typhlocyba pomaria,0.2487
RRMFG2692-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Ichneumonidae,Ichneumonidae,1.0000,,cryptJanzen01,0.4722,,Cubocephalus anatorius,0.0094
RRMFE1160-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Encyrtidae,Encyrtidae,0.6114,,encyrMalaise01,0.0662,,Aenasius arizonensis,0.0118
RRMFG419-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,Cicadellidae,Cicadellidae,1.0000,Typhlocyba,Typhlocyba,0.9894,,Typhlocyba hockingensis,0.7844
RRMPC040-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Chironomidae,Chironomidae,1.0000,Tanytarsus,Tanytarsus,1.0000,Tanytarsus guerlus,Tanytarsus guerlus,0.9961
RRMFI2838-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,Cicadellidae,Cicadellidae,1.0000,,Euscelis,0.0205,,Cicadula intermedia,0.0064
RRMPG1066-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,Miridae,Miridae,0.9998,,Adelphocoris,0.7007,,Adelphocoris lineolatus,0.7007
RRMFG1600-15,Insecta,Insecta,0.7452,Hymenoptera,Hymenoptera,0.2096,Platygastridae,Cimicidae,0.0030,,Cimex,0.0030,,Cimex hemipterus,0.0030
RRMPG947-15,Insecta,Insecta,1.0000,Lepidoptera,Lepidoptera,1.0000,Geometridae,Geometridae,1.0000,Epirrhoe,Epirrhoe,0.9860,Epirrhoe alternata,Epirrhoe alternata,0.9860
RRMFD541-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Ichneumonidae,Ichneumonidae,1.0000,,crypMalaise01,0.0157,,Cimex hemipterus,0.0051
RRMPC090-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Chironomidae,Chironomidae,1.0000,,Paraphaenocladius,0.0198,,Paraphaenocladius impensus,0.0198
RRMFA114-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Simuliidae,Simuliidae,1.0000,Simulium,Simulium,1.0000,Simulium vittatum,Simulium vittatum,0.9964
RRMFG3160-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Staphylinidae,Muscidae,0.0576,,Schoenomyza,0.0576,,Schoenomyza dorsalis,0.0576
RRMFA119-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Mycetophilidae,Mycetophilidae,1.0000,,Tarnania,0.0772,,Tarnania tarnanii,0.0772
RRMFA155-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Chironomidae,Chironomidae,1.0000,Cricotopus,Cricotopus,0.9993,,Cricotopus sylvestris,0.9244
RRMPC056-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Sciaridae,Sciaridae,1.0000,,Camptochaeta,0.0028,,Corynoptera bicuspidata,0.0011
RRMPC062-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Chironomidae,Chironomidae,1.0000,Polypedilum,Polypedilum,0.9659,,Polypedilum aviceps,0.0030
RRMPC036-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Chironomidae,Chironomidae,1.0000,Cricotopus,Cricotopus,0.9996,Cricotopus vierriensis,Cricotopus vierriensis,0.9996
