,class_label,class_pred,class_score,order_label,order_pred,order_score,family_label,family_pred,family_score,genus_label,genus_pred,genus_score,species_label,species_pred,species_score
RRMFI2990-15,Insecta,Insecta,0.94,Coleoptera,Diptera,0.42,Anthicidae,Limoniidae,0.38,,Dicranomyia,0.38,,Dicranomyia sp.,0.38
RRMFI2991-15,Insecta,Insecta,1.0,Coleoptera,Coleoptera,1.0,Coccinellidae,Coccinellidae,1.0,Stethorus,Stethorus,1.0,Stethorus punctillum,Stethorus punctillum,1.0
RRMFI3003-15,Insecta,Insecta,1.0,Coleoptera,Coleoptera,0.99,Curculionidae,Curculionidae,0.99,,Trigonopterus,0.99,,Trigonopterus sp.,0.99
RRMFI3005-15,Insecta,Insecta,0.99,Coleoptera,Diptera,0.96,Leiodidae,Limoniidae,0.93,,Dicranomyia,0.93,,Dicranomyia sp.,0.93
RRMFI3006-15,Insecta,Insecta,0.97,Coleoptera,Coleoptera,0.48,Latridiidae,Latridiidae,0.35,Melanophthalma,Corticarina,0.28,,Corticarina similata,0.28
RRMFI3007-15,Insecta,Insecta,0.95,Coleoptera,Diptera,0.52,Leiodidae,Limoniidae,0.28,,Dicranomyia,0.28,,Dicranomyia sp.,0.28
RRMPA083-15,Insecta,Insecta,1.0,Hemiptera,Hemiptera,1.0,Miridae,Miridae,1.0,Lygus,Lygus,1.0,Lygus lineolaris,Lygus lineolaris,1.0
RRMPB4209-15,Insecta,Insecta,1.0,Coleoptera,Diptera,0.5,Chrysomelidae,Limoniidae,0.5,,Dicranomyia,0.5,,Dicranomyia sp.,0.5
RRMPB4235-15,Arachnida,Malacostraca,0.7,Mesostigmata,Amphipoda,0.61,Ascidae,Niphargidae,0.53,,Niphargus,0.53,,Niphargus longicaudatus,0.3
RRMPG056-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Gelechiidae,Gelechiidae,0.7,Dichomeris,Dichomeris,0.68,,Dichomeris leuconotella,0.49
RRMFA001-15,Insecta,Insecta,0.88,Diptera,Hymenoptera,0.51,Cecidomyiidae,Vespidae,0.44,,Ropalidia,0.44,,Ropalidia sp.,0.44
RRMFA030-15,Insecta,Insecta,0.71,Diptera,Lepidoptera,0.23,Sciaridae,Apatelodidae,0.22,Bradysia,Apatelodes,0.22,,Apatelodes sp.,0.22
RRMFA031-15,Insecta,Insecta,1.0,Diptera,Diptera,1.0,Chironomidae,Limoniidae,0.64,,Dicranomyia,0.64,,Dicranomyia sp.,0.64
RRMFA055-15,Insecta,Insecta,0.98,Diptera,Diptera,0.97,Chironomidae,Limoniidae,0.6,,Dicranomyia,0.6,,Dicranomyia sp.,0.6
RRMFA058-15,Insecta,Insecta,1.0,Diptera,Diptera,1.0,Chironomidae,Chironomidae,1.0,Chironomus,Chironomus,1.0,Chironomus acidophilus,Chironomus acidophilus,1.0
RRMFB011-15,Insecta,Insecta,1.0,Hemiptera,Hemiptera,1.0,Cicadellidae,Cicadellidae,1.0,Hymetta,Hymetta,1.0,Hymetta balteata,Hymetta balteata,1.0
RRMFD001-15,Insecta,Insecta,0.61,Hemiptera,Hymenoptera,0.5,Membracidae,Vespidae,0.26,,Ropalidia,0.25,,Ropalidia sp.,0.25
RRMFD448-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,0.99,,Gelis,0.56,,Gelis sp.,0.56
RRMFD462-15,Insecta,Insecta,0.87,Hymenoptera,Hymenoptera,0.86,Braconidae,Braconidae,0.85,Meteorus,Dolichogenidea,0.29,,Dolichogenidea sp.,0.29
RRMFD470-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,0.96,,Gelis,0.62,,Gelis sp.,0.62
RRMFD525-15,Insecta,Insecta,0.92,Coleoptera,Diptera,0.66,Scarabaeidae,Syrphidae,0.41,,Copestylum,0.41,,Copestylum sp.,0.41
RRMFD539-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,0.85,,Orthocentrus,0.3,,Orthocentrus winnertzii,0.3
RRMFD540-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,0.96,,Orthocentrus,0.39,,Orthocentrus winnertzii,0.34
RRMFE1102-15,Insecta,Insecta,0.93,Hymenoptera,Hymenoptera,0.88,Dryinidae,Braconidae,0.4,,Heterospilus,0.34,,Heterospilus sp.,0.34
RRMFE1104-15,Insecta,Insecta,0.96,Hymenoptera,Hymenoptera,0.91,Platygastridae,Formicidae,0.59,,Tetramorium,0.48,,Tetramorium sp.,0.48
RRMFE1128-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Eulophidae,Pteromalidae,0.44,Aprostocetus,Pteromalus,0.42,,Pteromalus phycidis,0.42
RRMFE2515-15,Insecta,Insecta,1.0,Hemiptera,Hemiptera,1.0,Cicadellidae,Cicadellidae,1.0,Draeculacephala,Draeculacephala,1.0,,Draeculacephala antica,1.0
RRMFG2328-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Sphingidae,Apatelodidae,0.58,,Apatelodes,0.58,,Apatelodes sp.,0.58
RRMFG2332-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Erebidae,Erebidae,1.0,Rivula,Rivula,1.0,Rivula propinqualis,Rivula propinqualis,1.0
RRMFG2342-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Geometridae,Geometridae,0.98,,Eois,0.91,,Eois spnr,0.91
RRMFG2708-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,0.99,Ichneumonidae,Ichneumonidae,0.79,,Mesochorus,0.53,,Mesochorus sp.,0.53
RRMFI2530-15,Arachnida,Malacostraca,0.31,Mesostigmata,Isopoda,0.25,,Stenasellidae,0.22,,Stenasellus,0.22,,Stenasellus virei,0.22
RRMFI2567-15,Arachnida,Arachnida,1.0,Trombidiformes,Trombidiformes,1.0,Tetranychidae,Tetranychidae,1.0,Panonychus,Panonychus,1.0,Panonychus ulmi,Panonychus ulmi,1.0
RRMFI2988-15,Insecta,Insecta,0.55,Coleoptera,Coleoptera,0.22,Eucnemidae,Curculionidae,0.2,Microrhagus,Trigonopterus,0.2,,Trigonopterus sp.,0.2
RRMFI2994-15,Insecta,Insecta,0.98,Coleoptera,Coleoptera,0.98,Curculionidae,Curculionidae,0.98,,Trigonopterus,0.98,,Trigonopterus sp.,0.98
RRMFI3001-15,Insecta,Insecta,0.97,Coleoptera,Diptera,0.63,Staphylinidae,Limoniidae,0.58,,Dicranomyia,0.58,,Dicranomyia sp.,0.58
RRMPB117-15,Insecta,Insecta,1.0,Hemiptera,Hemiptera,1.0,Cicadellidae,Cicadellidae,1.0,Ceratagallia,Ceratagallia,1.0,,Ceratagallia siccifolia,1.0
RRMPB4214-15,Insecta,Insecta,1.0,Coleoptera,Coleoptera,1.0,Scirtidae,Scirtidae,1.0,Contacyphon,Contacyphon,1.0,Contacyphon pusillus,Contacyphon pusillus,1.0
RRMPC002-15,Insecta,Insecta,1.0,Hemiptera,Hemiptera,1.0,Cicadellidae,Cicadellidae,1.0,Dikraneura,Dikraneura,1.0,Dikraneura mali,Dikraneura mali,1.0
RRMPD001-15,Insecta,Insecta,1.0,Hemiptera,Hemiptera,1.0,Cicadellidae,Cicadellidae,1.0,Agallia,Agallia,1.0,Agallia quadripunctata,Agallia quadripunctata,1.0
RRMPG044-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Tortricidae,Tortricidae,1.0,Cochylichroa,Cochylichroa,1.0,Cochylichroa hoffmanana,Cochylichroa hoffmanana,1.0
RRMFA010-15,Insecta,Insecta,0.98,Diptera,Diptera,0.88,Chironomidae,Limoniidae,0.55,Micropsectra,Dicranomyia,0.55,,Dicranomyia sp.,0.55
RRMFA019-15,Insecta,Insecta,0.98,Diptera,Diptera,0.96,Trichoceridae,Limoniidae,0.85,Trichocera,Dicranomyia,0.85,,Dicranomyia sp.,0.85
RRMFA267-15,Insecta,Insecta,1.0,Coleoptera,Coleoptera,1.0,Cleridae,Cleridae,1.0,Enoclerus,Enoclerus,1.0,Enoclerus nigripes,Enoclerus nigripes,1.0
RRMFB1010-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Depressariidae,Depressariidae,1.0,Agonopterix,Agonopterix,1.0,Agonopterix pulvipennella,Agonopterix pulvipennella,1.0
RRMFB555-15,Insecta,Insecta,1.0,Coleoptera,Coleoptera,1.0,Staphylinidae,Staphylinidae,1.0,Stenichnus,Stenichnus,1.0,Stenichnus scutellaris,Stenichnus scutellaris,1.0
RRMFB930-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,0.86,,Orthocentrus,0.71,,Orthocentrus winnertzii,0.67
RRMFC038-15,Insecta,Insecta,0.96,Diptera,Diptera,0.85,Ceratopogonidae,Limoniidae,0.75,Dasyhelea,Dicranomyia,0.75,,Dicranomyia sp.,0.75
RRMFC110-15,Insecta,Insecta,1.0,Diptera,Diptera,1.0,Ephydridae,Ephydridae,1.0,Philygria,Philygria,1.0,Philygria debilis,Philygria debilis,1.0
RRMFC112-15,Insecta,Insecta,0.99,Diptera,Diptera,0.88,Sciaridae,Limoniidae,0.3,Scatopsciara,Dicranomyia,0.3,,Dicranomyia sp.,0.3
RRMFC1233-15,Insecta,Insecta,0.92,Diptera,Diptera,0.55,Cecidomyiidae,Limoniidae,0.47,,Dicranomyia,0.47,,Dicranomyia sp.,0.47
RRMFC1362-15,Insecta,Insecta,0.99,Hemiptera,Hemiptera,0.99,Cicadellidae,Cicadellidae,0.99,Scaphoideus,Scaphoideus,0.99,,Scaphoideus cylindratus,0.99
RRMFC1604-15,Insecta,Insecta,0.84,Diptera,Hymenoptera,0.3,Cecidomyiidae,Vespidae,0.21,,Ropalidia,0.21,,Ropalidia sp.,0.21
RRMFC1721-15,Insecta,Insecta,1.0,Coleoptera,Lepidoptera,0.41,,Apatelodidae,0.31,,Apatelodes,0.31,,Apatelodes sp.,0.31
RRMFC1911-15,Insecta,Insecta,1.0,Diptera,Diptera,0.97,Simuliidae,Limoniidae,0.79,,Dicranomyia,0.79,,Dicranomyia sp.,0.79
RRMFC663-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Bucculatricidae,Bucculatricidae,0.66,Bucculatrix,Bucculatrix,0.66,,Bucculatrix pomifoliella,0.66
RRMFD1461-15,Insecta,Insecta,0.99,Hymenoptera,Hymenoptera,0.98,Cynipidae,Figitidae,0.95,,Alloxysta,0.95,,Alloxysta castanea,0.89
RRMFD1678-15,Insecta,Insecta,0.9,Coleoptera,Coleoptera,0.81,Elateridae,Curculionidae,0.78,Ampedus,Trigonopterus,0.78,,Trigonopterus sp.,0.78
RRMFD538-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,1.0,Cryptus,Cryptus,1.0,Cryptus albitarsis,Cryptus albitarsis,1.0
RRMFD542-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,0.89,,Mesochorus,0.56,,Mesochorus sp.,0.56
RRMFE1069-15,Insecta,Insecta,0.99,Hymenoptera,Hymenoptera,0.97,Cynipidae,Figitidae,0.82,,Alloxysta,0.82,,Alloxysta basimacula,0.59
RRMFE160-15,Insecta,Insecta,1.0,Diptera,Diptera,1.0,Ceratopogonidae,Ceratopogonidae,1.0,Dasyhelea,Dasyhelea,1.0,Dasyhelea arenivaga,Dasyhelea arenivaga,1.0
RRMFE1653-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Pteromalidae,Pteromalidae,0.71,,Pteromalus,0.6,,Pteromalus phycidis,0.6
RRMFE1670-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Gracillariidae,Gracillariidae,1.0,Acrocercops,Acrocercops,1.0,Acrocercops astericola,Acrocercops astericola,1.0
RRMFE1671-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,0.98,Bucculatricidae,Bucculatricidae,0.6,Bucculatrix,Bucculatrix,0.6,,Bucculatrix pomifoliella,0.38
RRMFE1693-15,Insecta,Insecta,0.98,Coleoptera,Diptera,0.43,Staphylinidae,Limoniidae,0.4,Lordithon,Dicranomyia,0.4,,Dicranomyia sp.,0.4
RRMFE2492-15,Arachnida,Insecta,0.64,Mesostigmata,Hymenoptera,0.43,,Formicidae,0.31,,Tetramorium,0.25,,Tetramorium sp.,0.25
RRMFE2500-15,Arachnida,Arachnida,0.69,Trombidiformes,Trombidiformes,0.64,,Arrenuridae,0.61,,Arrenurus,0.61,,Arrenurus sp.,0.61
RRMFE2799-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,0.96,Phygadeuon,Gelis,0.52,,Gelis sp.,0.52
RRMFE2832-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,0.94,,Orthocentrus,0.55,,Orthocentrus winnertzii,0.53
RRMFE478-15,Insecta,Insecta,0.98,Diptera,Diptera,0.98,Chloropidae,Syrphidae,0.62,,Copestylum,0.62,,Copestylum sp.,0.62
RRMFE946-15,Insecta,Insecta,0.93,Coleoptera,Coleoptera,0.71,Pyrochroidae,Pyrochroidae,0.67,Pedilus,Pedilus,0.67,,Pedilus elegans,0.67
RRMFG1533-15,Insecta,Insecta,0.86,Hymenoptera,Hymenoptera,0.72,Platygastridae,Vespidae,0.5,Synopeas,Ropalidia,0.5,,Ropalidia sp.,0.5
RRMFG1720-15,Insecta,Insecta,1.0,Coleoptera,Coleoptera,1.0,Latridiidae,Latridiidae,1.0,Stephostethus,Stephostethus,1.0,Stephostethus liratus,Stephostethus liratus,1.0
RRMFG2353-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Geometridae,Geometridae,1.0,Campaea,Campaea,1.0,Campaea perlata,Campaea perlata,1.0
RRMFG2512-15,Insecta,Insecta,0.95,Coleoptera,Coleoptera,0.51,Nitidulidae,Curculionidae,0.33,,Trigonopterus,0.33,,Trigonopterus sp.,0.33
RRMFG2675-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,0.96,Braconidae,Braconidae,0.92,,Dolichogenidea,0.8,,Dolichogenidea sp.,0.8
RRMFG2709-15,Insecta,Insecta,0.9,Hymenoptera,Hymenoptera,0.89,Ichneumonidae,Vespidae,0.56,,Ropalidia,0.56,,Ropalidia sp.,0.56
RRMFG2729-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,0.97,,Gelis,0.43,,Gelis sp.,0.43
RRMFG2828-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,0.77,,Mesochorus,0.38,,Mesochorus sp.,0.38
RRMFG2854-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Crabronidae,Crabronidae,1.0,Trypoxylon,Trypoxylon,1.0,,Trypoxylon clavicerum,1.0
RRMFG404-15,Insecta,Insecta,1.0,Hemiptera,Hemiptera,1.0,Cicadellidae,Cicadellidae,1.0,Balclutha,Balclutha,1.0,,Balclutha rhenana,0.83
RRMFI016-15,Insecta,Insecta,0.89,Hymenoptera,Hymenoptera,0.83,Platygastridae,Vespidae,0.4,,Ropalidia,0.4,,Ropalidia sp.,0.4
RRMFI034-15,Insecta,Insecta,0.91,Hymenoptera,Hymenoptera,0.84,Scelionidae,Ichneumonidae,0.36,,Gelis,0.25,,Gelis sp.,0.25
RRMFI1777-15,Insecta,Insecta,0.83,Hymenoptera,Hymenoptera,0.72,,Formicidae,0.51,,Tetramorium,0.41,,Tetramorium sp.,0.41
RRMFI2519-15,Arachnida,Collembola,0.33,Mesostigmata,Entomobryomorpha,0.33,Parasitidae,Entomobryidae,0.2,,Heteromurus,0.2,,Heteromurus nitidus,0.2
RRMFI2578-15,Arachnida,Arachnida,0.86,Sarcoptiformes,Sarcoptiformes,0.73,,Phthiracaridae,0.68,,Steganacarus,0.68,,Steganacarus magnus,0.68
RRMFI2709-15,Insecta,Insecta,1.0,Hemiptera,Hemiptera,1.0,Cicadellidae,Cicadellidae,1.0,,Sorhoanus,1.0,,Sorhoanus pascuellus,1.0
RRMFI2936-15,Insecta,Insecta,1.0,Hemiptera,Hemiptera,1.0,Aphididae,Aphididae,1.0,Therioaphis,Therioaphis,1.0,Therioaphis trifolii,Therioaphis trifolii,1.0
RRMFI2984-15,Insecta,Insecta,1.0,Coleoptera,Coleoptera,1.0,Latridiidae,Latridiidae,1.0,Melanophthalma,Melanophthalma,1.0,Melanophthalma pumila,Melanophthalma pumila,1.0
RRMFI3005-15,Insecta,Insecta,0.99,Coleoptera,Diptera,0.96,Leiodidae,Limoniidae,0.93,,Dicranomyia,0.93,,Dicranomyia sp.,0.93
RRMFI302-15,Insecta,Insecta,0.97,Hymenoptera,Hymenoptera,0.96,Bethylidae,Vespidae,0.64,,Ropalidia,0.64,,Ropalidia sp.,0.64
RRMFI4037-15,Insecta,Chilopoda,0.21,Hemiptera,Scolopendromorpha,0.21,Cicadellidae,Scolopendridae,0.21,,Scolopendra,0.21,,Scolopendra subspinipes,0.21
RRMFI4172-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,0.6,,Mesochorus,0.23,,Mesochorus sp.,0.23
